t, q_1, q_2, q_3, q_4, q_5, q_1_dot, q_2_dot, q_3_dot, q_4_dot, q_5_dot, eta_1, eta_2, eta_3, eta_4, eta_1_dot, eta_2_dot, eta_3_dot, eta_4_dot, z_1, z_1_dot, y_1, y_2, y_3, y_4, y_5, y_dot_1, y_dot_2, y_dot_3, y_dot_4, y_dot_5, post_impact,
0,0.554811,-1.10962,0.554811,-0.554811,1.10962,0,0,0,0,0,-1.10962,0.554811,-0.554811,1.10962,0,0,0,0,0.554811,0,0.0535711,0.85,0,1.11022e-16,5.55112e-17,0,0,0,0,0,0,
0.001,0.55475,-1.10981,0.555486,-0.555683,1.11008,-0.0609153,-0.183898,0.675453,-0.872172,0.462691,-1.10981,0.555486,-0.555683,1.11008,-0.183898,0.675453,-0.872172,0.462691,0.55475,0.00557193,0.0535632,0.849952,0.00043064,4.87057e-05,7.34596e-05,-0.101052,-0.0484642,0.43064,0.0486875,0.0734876,0,
0.002,0.554643,-1.11009,0.556582,-0.557025,1.11056,-0.107286,-0.282995,1.09579,-1.34155,0.470502,-1.11009,0.556582,-0.557025,1.11056,-0.282995,1.09579,-1.34155,0.470502,0.554643,0.0112113,0.0535497,0.849877,0.00113615,0.000177829,0.000122979,-0.177383,-0.0746514,0.705513,0.129092,0.0495762,0,
0.003,0.554502,-1.11044,0.557967,-0.55866,1.11093,-0.140773,-0.347638,1.38437,-1.63533,0.377523,-1.11044,0.557967,-0.55866,1.11093,-0.347638,1.38437,-1.63533,0.377523,0.554502,0.0168525,0.0535323,0.849785,0.00203212,0.000378297,0.000131158,-0.234111,-0.0918165,0.895964,0.200442,0.00826823,0,
0.004,0.554338,-1.11083,0.559558,-0.560496,1.11122,-0.163927,-0.395116,1.59152,-1.83551,0.283544,-1.11083,0.559558,-0.560496,1.11122,-0.395116,1.59152,-1.83551,0.283544,0.554338,0.0224778,0.0535119,0.849681,0.00306459,0.000632933,0.000102336,-0.275622,-0.104503,1.03248,0.254624,-0.0286995,0,
0.005,0.554159,-1.11126,0.5613,-0.562473,1.11143,-0.179081,-0.432209,1.74232,-1.9769,0.212905,-1.11126,0.5613,-0.562473,1.11143,-0.432209,1.74232,-1.9769,0.212905,0.554159,0.0280824,0.0534895,0.849566,0.00419562,0.000925368,4.54687e-05,-0.305407,-0.114485,1.13103,0.292439,-0.0567169,0,
0.006,0.553971,-1.11173,0.563152,-0.56455,1.1116,-0.188129,-0.462153,1.85188,-2.07764,0.16843,-1.11173,0.563152,-0.56455,1.1116,-0.462153,1.85188,-2.07764,0.16843,0.553971,0.0336656,0.0534655,0.849444,0.00539722,0.00124198,-3.06208e-05,-0.326175,-0.122607,1.2016,0.316626,-0.0759175,0,
0.007,0.553778,-1.11221,0.565083,-0.566699,1.11175,-0.192551,-0.48683,1.93053,-2.14903,0.147455,-1.11221,0.565083,-0.566699,1.11175,-0.48683,1.93053,-2.14903,0.147455,0.553778,0.0392287,0.0534406,0.849315,0.00664837,0.00157189,-0.000118333,-0.340012,-0.129357,1.25115,0.32993,-0.087527,0,
0.008,0.553585,-1.11272,0.567069,-0.568898,1.11189,-0.193489,-0.507502,1.98578,-2.19892,0.146431,-1.11272,0.567069,-0.568898,1.11189,-0.507502,1.98578,-2.19892,0.146431,0.553585,0.0447736,0.0534149,0.84918,0.00793316,0.00190651,-0.000211358,-0.348517,-0.135059,1.28479,0.334655,-0.0928353,0,
0.009,0.553393,-1.11325,0.569092,-0.571131,1.11205,-0.191818,-0.525071,2.02324,-2.23302,0.162141,-1.11325,0.569092,-0.571131,1.11205,-0.525071,2.02324,-2.23302,0.162141,0.553393,0.0503023,0.0533889,0.84904,0.00923951,0.00223912,-0.000304495,-0.352916,-0.139948,1.30635,0.332635,-0.0929467,0,
